species,Species,Timepoint,dpc,log_dpc,dpc_geomean,dpc_min,dpc_max,gestation_days,prenatal,n_samples,stages
chicken,Chicken,7,10.0,2.3026,10.0,10.0,10.0,21,True,24,e10
chicken,Chicken,9,12.0,2.4849,12.0,12.0,12.0,21,True,24,e12
chicken,Chicken,11,14.0,2.6391,14.0,14.0,14.0,21,True,24,e14
chicken,Chicken,12,19.0,2.9444,18.89,17.0,21.0,21,True,48,"P0,e17"
chicken,Chicken,13,56.0,4.0254,51.85,28.0,91.0,21,False,71,"P35,P7,P70"
chicken,Chicken,14,176.0,5.1705,176.0,176.0,176.0,21,False,24,P155
human,Human,1,28.0,3.3322,28.0,28.0,28.0,280,True,36,4wpc
human,Human,2,35.0,3.5553,35.0,35.0,35.0,280,True,34,5wpc
human,Human,3,42.0,3.7377,42.0,42.0,42.0,280,True,40,6wpc
human,Human,4,49.0,3.8918,49.0,49.0,49.0,280,True,54,7wpc
human,Human,5,56.0,4.0254,56.0,56.0,56.0,280,True,64,8wpc
human,Human,6,70.0,4.2485,70.44,63.0,77.0,280,True,104,"10wpc,11wpc,9wpc"
human,Human,7,84.0,4.4308,84.0,84.0,84.0,280,True,40,12wpc
human,Human,8,91.0,4.5109,91.0,91.0,91.0,280,True,34,13wpc
human,Human,9,112.0,4.7185,112.0,112.0,112.0,280,True,44,16wpc
human,Human,10,129.5,4.8637,129.45,126.0,133.0,280,True,40,"18wpc,19wpc"
human,Human,11,140.0,4.9416,140.0,140.0,140.0,280,True,22,20wpc
human,Human,12,501.0,6.2166,536.58,280.0,1741.0,280,False,76,"infant,newborn,toddler"
human,Human,13,6124.0,8.72,6197.37,2836.75,11968.0,280,False,62,"oldTeenager,school,teenager,youngAdult,youngTeenager"
human,Human,14,15803.12,9.668,16650.27,14524.75,20368.75,280,False,28,"olderMidAge,youngMidAge"
human,Human,15,21464.5,9.9742,21304.43,20368.75,21464.5,280,False,14,senior
macaque,Macaque,10,109.0,4.6913,102.29,93.0,109.0,165,True,30,"e109,e93"
macaque,Macaque,11,123.0,4.8122,123.62,112.0,130.0,165,True,56,"e112,e123,e130"
macaque,Macaque,12,165.0,5.1059,165.75,165.0,189.0,165,False,60,"24 days post birth,P0"
macaque,Macaque,13,318.0,5.7621,329.4,316.0,347.64,165,False,34,P6m
macaque,Macaque,14,1260.75,7.1395,1284.35,530.25,3452.25,165,False,102,"P1y,P3y,P8y,P9y"
macaque,Macaque,15,6556.88,8.7883,6678.81,5278.5,9661.5,165,False,48,"P14-15y,P20-26y,P22-26y"
mouse,Mouse,1,10.5,2.3514,10.5,10.5,10.5,20,True,15,e10.5
mouse,Mouse,2,11.5,2.4423,11.5,11.5,11.5,20,True,20,e11.5
mouse,Mouse,3,12.5,2.5257,12.5,12.5,12.5,20,True,20,e12.5
mouse,Mouse,4,13.5,2.6027,13.5,13.5,13.5,20,True,25,e13.5
